11.7998,44.24
14.6026,54.80
12.7287,55.41
14.2825,61.96
15.3416,43.53
10.3886,14.35
13.4116,59.13
13.7062,62.24
13.8792,51.70
13.8865,45.49
14.9029,54.10
14.0954,50.85
12.5340,48.68
12.6776,56.20
10.9732,43.57
13.1767,49.26
13.9441,60.95
11.1876,49.93
11.6241,42.06
10.4851,39.99
12.2781,42.53
14.2372,67.28
13.0143,48.90
12.9002,55.87
13.1239,50.48
10.6426,49.54
14.9378,63.74
13.2617,58.26
12.5869,54.39
14.2406,55.57
12.1688,53.29
15.0553,68.35
13.6264,58.79
10.7673,50.37
12.6466,58.48
14.6839,69.53
15.2123,69.33
14.8626,61.52
12.8003,55.29
15.6605,73.10
12.3036,54.99
13.5136,59.97
13.9698,62.74
15.5278,66.06
12.9069,57.10
14.7064,73.29
14.1361,66.94
15.0900,67.79
12.2734,55.56
14.1700,65.91
15.3595,75.14
14.5207,61.73
15.6650,60.24
16.9764,76.49
14.8530,63.42
15.5435,67.52
17.0589,62.28
15.5465,66.80
14.7253,54.08
14.7391,60.20
16.7213,66.78
15.1446,60.56
17.4351,60.52
14.2932,64.92
14.9282,72.50
16.2678,60.63
16.7515,69.16
15.6609,66.45
15.6071,57.24
16.4331,64.08
17.9683,61.90
16.6703,65.09
18.8875,63.72
17.4720,67.30
18.5947,71.22
17.0241,57.54
16.7398,57.95
19.3629,59.18
19.9599,60.26
16.6291,69.27
16.1790,59.63
18.7897,54.27
20.4673,58.29
17.1854,65.80
17.6574,63.13
17.4565,49.40
20.0401,58.83
19.3500,62.39
20.8983,53.56
19.1498,67.34
20.1559,55.42
18.9444,62.65
19.2505,59.80
21.1709,53.85
20.3689,53.98
18.9559,44.90
21.3334,44.66
19.0721,46.91
22.2815,50.67
22.3114,53.03
20.5927,53.76
23.6347,55.40
20.1890,53.42
21.9524,59.34
20.9588,53.53
21.5666,66.21
20.5602,53.81
21.0026,47.97
21.1812,61.22
18.3934,58.04
22.2551,56.69
19.3615,59.71
22.1107,59.23
18.9131,55.39
19.2157,64.67
22.2137,61.84
20.3499,64.19
17.4620,50.59
19.9655,63.23
17.3135,51.45
17.2602,57.60
19.7223,56.80
