15.97,48.40
10.91,57.76
10.22,62.88
9.41,77.92
9.23,58.82
9.50,68.69
8.81,58.64
9.02,65.36
8.52,50.18
8.83,53.55
8.17,41.53
8.33,53.07
8.20,52.41
7.85,44.40
7.86,40.10
7.33,63.37
6.82,72.02
6.46,75.11
7.20,49.55
7.71,57.63
7.12,62.04
6.94,63.65
6.70,64.18
6.31,71.71
6.29,60.69
6.14,76.10
5.96,77.78
5.67,65.23
5.81,65.94
5.69,53.26
5.88,59.53
5.79,66.62
5.46,61.36
5.33,58.85
5.60,63.51
5.38,67.13
5.61,53.35
5.20,65.15
5.08,54.23
5.42,58.17
5.03,61.53
5.07,80.24
4.68,59.68
4.75,71.67
4.78,67.11
4.96,50.08
4.88,46.35
4.67,70.89
5.15,67.56
4.58,60.54
17.74,77.63
9.86,60.90
6.41,57.21
5.68,69.39
5.58,59.22
5.06,62.81
5.25,57.10
5.26,67.02
5.19,68.62
4.73,56.84
4.40,52.55
4.41,68.75
4.54,58.70
4.47,63.46
4.69,54.35
4.41,84.30
4.56,51.97
4.09,78.74
4.58,78.54
4.32,81.01
4.92,63.44
4.50,76.95
4.23,66.46
4.85,50.81
4.61,71.15
4.64,74.18
4.26,68.90
4.17,56.21
3.96,61.58
4.18,71.21
4.55,90.28
4.06,56.89
4.31,69.91
4.23,63.63
4.66,77.48
4.18,70.31
4.40,51.53
4.40,71.68
4.26,62.71
4.00,53.92
4.65,63.99
4.40,59.89
4.61,53.13
4.33,68.53
3.98,65.67
3.96,80.00
4.06,68.81
4.09,64.73
3.68,69.23
4.18,67.27
10.31,44.52
4.78,67.77
3.67,69.58
4.13,77.66
3.72,79.65
3.82,71.71
4.10,65.69
3.59,66.99
3.50,72.81
3.79,76.99
3.81,64.46
3.76,68.76
3.56,61.27
3.42,60.83
3.50,73.00
3.40,78.03
4.04,71.24
3.24,69.84
3.17,64.45
3.28,59.28
3.29,69.05
3.73,67.08
3.61,62.22
3.37,68.31
3.39,78.79
3.22,85.97
3.05,62.08
3.17,62.02
3.35,77.15
3.25,67.43
3.48,72.18
3.36,89.19
3.26,65.90
3.05,72.34
3.18,51.10
3.08,65.47
3.22,73.66
3.19,60.36
2.98,75.91
2.91,68.00
2.95,52.11
3.44,68.22
3.54,71.54
3.13,72.49
2.90,76.21
3.10,86.42
3.25,71.85
3.57,81.23
3.40,65.04
3.19,73.04
9.19,86.61
3.76,60.87
3.31,71.81
3.04,76.23
2.92,70.02
2.87,63.31
2.64,76.86
2.80,90.10
2.78,72.01
2.84,76.90
2.64,73.89
2.70,62.86
2.66,66.56
2.65,69.55
2.45,67.10
2.50,77.62
2.74,75.92
2.76,80.66
2.74,74.86
2.31,64.25
2.36,62.84
2.52,64.69
2.48,78.14
2.38,69.45
2.45,89.12
2.34,87.89
2.29,67.94
2.27,85.05
2.53,75.32
2.30,78.80
2.34,76.43
2.39,68.11
2.14,81.34
2.18,77.97
2.39,75.08
2.25,84.31
2.33,70.57
2.61,68.07
2.57,77.56
2.20,79.59
2.35,66.24
2.26,71.09
2.41,58.30
2.30,88.62
2.16,72.82
2.38,71.73
2.22,81.60
2.32,73.63
2.18,78.10
2.18,69.15
6.07,56.15
3.05,79.93
2.76,70.91
2.41,79.75
2.52,77.18
2.45,72.23
2.66,76.84
2.38,75.13
2.47,68.23
2.65,74.68
2.48,80.20
2.62,85.54
2.56,79.22
2.31,82.70
2.23,73.01
2.28,83.46
2.70,90.01
2.48,91.84
2.43,75.51
2.37,89.26
2.27,81.49
2.45,77.58
2.33,82.78
2.31,72.30
2.26,70.15
2.42,79.72
2.67,79.39
2.50,84.84
2.18,81.16
2.14,84.98
2.21,71.20
2.30,66.27
2.52,77.47
2.25,76.01
2.40,82.94
2.28,81.14
2.25,80.18
2.14,84.09
2.09,79.41
2.22,69.58
2.12,88.44
2.16,90.29
2.24,75.58
2.17,87.62
2.45,93.95
2.17,77.02
2.04,81.48
2.16,94.65
2.48,85.46
2.16,92.33
7.75,81.82
2.87,89.70
2.25,84.29
2.11,81.94
2.23,73.76
2.03,77.38
1.77,68.85
1.88,87.52
2.19,77.45
1.87,72.94
1.80,81.43
1.97,87.11
1.72,92.15
1.83,90.45
2.01,79.81
1.94,86.75
2.00,82.31
1.84,74.98
2.08,87.04
2.08,70.63
1.86,81.84
2.10,84.26
2.25,86.85
2.01,76.40
1.96,79.74
2.10,77.62
1.83,85.65
1.74,92.12
1.78,85.33
1.75,81.37
2.01,81.02
1.84,77.53
2.03,74.22
2.11,84.43
2.20,87.05
2.09,83.52
2.11,90.75
1.78,87.44
2.01,83.05
2.09,78.88
1.96,86.92
2.07,84.76
1.77,84.50
1.61,90.05
1.74,87.34
1.84,85.34
1.89,86.48
1.95,91.45
1.86,84.71
1.95,83.11
5.86,80.77
2.47,86.30
2.16,88.79
1.95,93.00
1.80,82.26
1.86,92.18
1.79,84.92
1.80,79.64
1.84,84.40
2.07,90.13
1.87,78.53
1.76,78.03
1.86,80.57
1.86,89.22
1.78,84.48
1.89,77.64
2.04,98.24
1.77,80.36
1.84,88.87
1.79,90.46
1.93,92.61
1.80,83.18
1.98,87.69
1.70,79.75
2.01,83.84
1.84,81.92
1.73,86.08
2.11,104.62
1.89,84.94
1.84,88.22
1.76,82.42
1.81,96.46
1.87,86.49
1.85,89.22
1.85,86.38
1.76,90.91
2.04,79.59
2.22,86.21
2.12,86.22
1.97,102.13
2.07,92.05
1.99,81.49
1.81,71.20
2.19,97.24
1.80,93.68
1.97,83.17
1.90,86.29
1.74,97.70
1.78,96.89
1.67,101.24
5.46,83.10
2.47,100.37
2.12,88.88
1.83,82.84
2.06,89.41
1.75,80.90
1.65,83.45
1.91,93.11
1.55,81.60
1.63,83.84
1.85,91.88
1.86,89.21
1.74,82.52
1.77,97.34
2.22,95.23
2.09,83.93
2.03,84.33
1.74,86.13
2.27,84.60
1.97,91.42
1.89,81.40
1.94,85.78
1.88,78.58
2.08,86.26
2.10,90.70
1.79,83.12
1.86,92.43
1.80,94.04
1.93,85.03
1.71,84.06
2.07,98.84
2.27,101.77
2.17,85.43
1.92,90.43
1.88,94.28
1.75,95.22
2.10,92.39
2.09,95.99
1.89,85.82
2.01,73.24
2.07,96.87
1.97,83.59
1.90,88.86
1.87,90.97
1.94,96.66
1.90,81.34
1.77,91.81
1.70,88.95
2.13,92.09
1.88,87.40
4.31,88.11
2.52,84.33
1.74,86.67
1.70,100.45
1.76,98.05
1.74,92.57
1.80,88.35
1.93,82.25
2.15,84.16
2.03,91.77
1.82,76.08
1.77,86.66
2.17,93.58
1.87,83.59
1.62,100.71
2.12,81.71
1.99,94.42
2.03,89.55
1.78,79.94
1.74,82.95
1.75,85.33
1.93,87.87
1.74,90.59
1.97,93.35
1.64,94.33
1.74,88.68
1.68,77.35
1.74,88.95
1.68,94.77
1.50,96.36
1.60,96.62
1.75,86.65
2.03,91.77
1.72,86.25
1.83,94.51
1.93,100.53
1.95,84.83
1.96,89.93
1.75,92.74
1.72,87.92
1.81,99.24
1.75,99.57
1.65,87.98
1.87,83.26
1.63,101.48
2.22,95.13
2.00,93.81
1.68,81.94
1.63,92.05
1.77,97.61
5.12,90.17
2.27,86.43
2.01,85.58
1.72,97.85
1.65,94.48
1.73,90.05
1.72,85.61
1.76,100.38
1.73,100.47
1.85,80.93
1.94,90.08
1.77,79.85
1.59,96.10
1.66,104.76
1.52,97.07
1.73,90.63
1.61,88.42
1.65,97.89
1.75,96.86
1.75,104.84
1.61,89.03
1.66,84.64
1.77,92.06
1.50,89.67
1.64,82.32
2.05,100.51
1.72,86.56
1.82,97.49
1.78,75.04
1.63,89.98
1.81,89.71
2.04,83.65
1.91,91.25
1.71,95.59
1.74,85.95
1.78,87.32
1.61,93.21
1.49,92.92
1.82,91.86
1.62,91.09
1.74,96.25
1.79,97.82
1.50,87.04
2.03,84.21
1.70,87.19
2.15,91.05
1.95,93.79
1.46,92.22
1.74,88.73
1.73,81.81
4.39,98.84
2.85,88.02
1.72,103.34
1.60,96.91
1.74,90.73
1.59,89.59
1.94,87.91
1.64,105.46
1.76,94.37
1.80,79.35
1.67,95.19
1.64,84.03
1.66,77.14
1.68,95.52
1.69,99.25
1.77,92.18
1.55,98.24
1.59,92.40
1.72,80.91
1.88,95.19
2.12,98.22
1.72,96.88
1.51,100.07
1.75,104.00
1.61,92.59
1.74,104.42
1.57,75.88
1.79,93.34
1.73,90.79
2.10,84.67
1.60,88.20
1.63,86.83
1.80,84.63
1.73,88.74
1.68,93.97
1.77,95.42
1.81,90.90
1.74,99.36
1.84,96.18
1.81,93.47
1.58,87.42
1.81,101.61
2.00,87.27
1.67,97.18
1.62,87.19
2.01,92.86
1.73,94.90
1.83,84.46
1.61,79.35
1.59,85.25
2.87,95.32
2.00,90.51
1.80,94.46
1.72,86.42
1.90,86.93
1.63,100.44
1.66,84.32
1.75,98.04
1.63,100.36
1.61,88.60
1.63,102.30
1.65,85.59
1.76,81.01
1.81,103.31
1.64,94.13
1.94,84.34
1.77,92.08
1.65,85.78
1.74,87.72
1.71,91.53
1.69,87.79
1.56,94.62
2.15,91.65
2.09,83.12
1.64,85.90
2.32,96.15
2.20,102.19
2.00,102.37
1.61,85.50
1.67,89.96
1.82,86.00
1.82,95.40
1.81,90.79
1.83,85.39
1.96,95.94
2.00,96.36
1.94,90.72
1.76,95.65
1.74,94.58
1.65,88.01
1.96,94.22
1.77,98.58
2.06,90.42
1.92,104.56
1.88,84.35
1.94,108.13
1.76,108.62
1.78,96.50
1.80,86.21
1.64,99.12
3.67,96.86
2.00,85.74
1.78,103.40
1.82,92.35
1.98,93.64
1.51,86.52
1.66,89.14
1.61,96.42
2.06,97.29
1.65,99.98
1.76,95.26
1.79,100.08
1.92,100.89
1.74,90.86
1.68,96.82
2.04,89.82
2.13,85.16
1.80,101.41
1.64,83.55
1.71,98.78
1.57,93.95
1.64,92.01
1.37,95.23
1.88,89.26
1.87,88.60
1.57,89.43
2.52,85.70
1.66,92.37
1.62,89.21
1.67,99.02
1.82,99.02
1.76,107.04
1.92,82.53
1.95,85.31
2.08,106.25
1.91,96.38
1.54,89.29
1.86,87.82
1.53,95.00
1.83,100.72
1.84,99.36
1.72,101.05
1.97,99.05
1.81,90.51
1.85,91.14
1.90,92.87
1.74,91.23
1.75,93.85
1.96,96.35
1.79,81.60
3.44,100.95
1.70,95.09
1.73,83.94
1.76,96.76
1.71,97.62
2.13,99.66
1.81,99.15
1.71,96.44
1.83,89.12
1.98,103.98
2.77,93.22
1.98,95.60
1.71,96.67
1.96,83.69
1.87,97.73
1.91,89.27
1.77,90.05
1.83,102.49
1.72,90.38
1.62,95.33
1.79,101.28
1.66,104.19
1.69,90.38
1.64,95.72
1.71,100.78
1.54,102.54
1.63,83.81
1.76,106.68
1.56,86.96
1.64,108.14
1.60,103.74
1.52,100.69
1.63,85.16
1.91,94.55
1.77,91.79
1.59,103.07
1.81,106.05
1.52,84.25
1.72,105.85
1.59,93.98
2.24,100.01
2.19,101.70
2.04,89.15
1.70,96.32
1.72,100.66
1.48,92.58
1.59,75.46
1.66,101.60
1.80,91.74
